,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
3841,-3.79128413786927,14.2389233067705,20.5954265295186,-3.89945306349276,0,0,1,0,0,1,0,-5.281619292288948
3842,-1.69328030823303,13.9209142218798,6.18036870419283,-0.683228979597857,0,1,0,1,0,1,0,-9.045823419010336
3843,-1.20077335650615,13.9304472325884,2.51626089913418,-1.54325466618327,0,1,0,1,0,1,0,-1.6304897398154765
3845,-0.630684969939182,13.3498467682354,24.2296538325039,-0.202190056933055,1,0,0,1,0,1,0,-119.83603051522124
3846,-1.6261411702209,13.0922445440624,27.1959437505529,-2.30797397243365,0,1,0,1,0,1,0,-11.783470730337593
3847,-1.86945632153422,11.1765787640822,10.2583997524749,-0.627721692910342,0,1,0,1,0,1,0,-16.342273762936717
3848,-1.23017646248221,13.1519260828677,29.7089240492713,-0.774753511475602,0,1,0,1,0,1,0,-38.34629157431947
3849,-0.222610903674308,12.1815492617947,25.5115024606845,-1.6730602209368,0,1,0,1,0,1,0,-15.248406567457442
3850,-1.17982325911191,13.7784454665909,18.5145769737721,-2.00866261725997,0,1,0,1,0,1,0,-9.217365233305312
3851,-1.99820394067277,11.9982039406728,8.19999999999999,-1.48703163501304,0,1,0,1,0,1,0,-5.5143413273303254
3852,-0.568439129503233,16.1829288600115,4.60065132283187,-1.70260505638133,0,1,0,1,0,1,0,-2.7021247855389126
3853,-2.34579852914254,16.1089718241521,4.85580166700495,-2.18985849754296,0,1,0,1,0,1,0,-2.2174043082935277
3854,-2.65446280123459,16.0575150980423,29.475818235291,-6.42742820288512,0,1,0,1,0,1,0,-4.585942822676729
3855,-0.764591736535401,17.0886298921266,25.1765837363263,-0.581194569035539,0,1,0,1,0,1,0,-43.31868375526199
3856,-1.19760841534489,18.7111957753997,11.4194000083588,-1.06204045004321,0,1,0,1,0,1,0,-10.752321164315534
3857,-0.703395616343187,11.2867289496765,11.7833333333333,-0.203395616343187,0,1,0,1,0,1,0,-57.933074198862876
3858,-1.41555829534505,16.2775119248669,14.3355886421375,-2.76559557125606,0,1,0,0,0,1,0,-5.1835448361043825
3859,-2.18809970244874,14.8619536295219,11.835110485343,-2.50047815679449,0,1,0,0,0,1,0,-4.73313892112344
3860,-0.125043753769489,16.0397049641496,4.01584184932757,-1.16792480219955,0,1,0,1,0,1,0,-3.4384421340864963
3861,-0.846517536834,11.8529646944303,14.5877454463678,-1.77166640565891,1,0,0,1,0,1,0,-8.23391209528658
3862,-1.69283270478,14.5417397184967,9.20559439595011,-3.06942796020951,0,1,0,1,0,1,0,-2.999123783091415
3863,-4.8,15.3414687755938,15.1180345022222,-3.60455821469878,0,1,0,0,0,1,0,-4.194143526541867
3864,-0.561586302356979,13.4013001058076,21.2167697605547,-0.571736208161454,0,1,0,1,0,1,0,-37.10936872230287
3867,-1.79203779949162,15.1644736842105,4.93337652426385,-0.106097159946671,1,0,0,1,0,1,0,-46.49866713438491
3868,-2.88701177254802,15.0073601280376,8.54986486002105,-1.15863643669857,1,0,1,0,0,1,0,-7.379247354228837
3869,-2.11700327504107,16.3384039390505,8.7919755359672,-0.761853170797281,1,0,1,0,0,1,0,-11.540249319650897
3870,-2.2867458780448,14.7158902629027,8.95370876149332,-3.17904369794959,1,0,1,0,0,1,0,-2.8164786684965217
3871,-1.30681362837787,12.8340805447191,3.23836541283405,-0.582825647790663,0,1,0,0,0,1,0,-5.55631932999145
3872,-2.00638104912684,17.5002542493221,15.9333793698447,-1.0809731230128,0,1,0,1,0,1,0,-14.73984785619506
3873,-0.0535381412513658,10.9336072247461,15.1675176704567,-0.581904164262149,0,0,0,1,0,1,0,-26.065319002638557
3874,-1.79182579169634,16.299653906211,11.4197331657531,-2.39612310647364,1,0,1,0,0,1,0,-4.765920888997833
3875,-1.13583634353266,15.9438791407989,10.171052631579,-1.27282650921995,1,0,1,0,0,1,0,-7.990918289258696
3876,-3.39141896796761,19.0351810628496,26.4174871482775,-8.74679856600818,0,1,0,0,0,1,0,-3.020246430613044
3877,-1.65207769118521,13.9281733006559,11.8039655926364,-3.2409252110417,1,0,1,0,0,1,0,-3.642159205778884
3878,-1.53554995106563,15.8628646798611,9.53269510680113,-1.62118731626234,0,1,0,1,0,1,0,-5.880070125874679
3879,-0.871633914023072,17.9472585311856,9.06718032768883,-2.75487297815365,0,1,0,1,0,1,0,-3.2913242823143762
3880,-1.90965467096348,12.2460361266905,28.6901675597748,-5.35676158364888,0,1,1,0,0,1,0,-5.355879128044344
3881,-1.52461466426301,14.6276962803985,15.3625448725091,-0.232092480148957,0,1,0,1,0,1,0,-66.19148049367827
3882,-0.471975312047135,15.5089847104646,20.3595513814425,-1.16922063348889,0,1,0,1,0,1,0,-17.41292515570027
3883,-1.84493572993748,11.7253940942296,27.6431881170199,-0.796629989677463,0,1,0,1,0,1,0,-34.7001600180932
3884,-0.965901242270689,17.9915269752278,12.0301904076849,-1.51461015890413,0,1,1,0,0,1,0,-7.942763579764404
3885,-0.0186842159382081,17.0256257329571,11.1042943947699,-0.925896012915047,0,1,1,0,0,1,0,-11.99302539365049
3886,-0.404753684582033,17.0069415170189,10.1685953636214,-0.935699031148516,0,1,1,0,0,1,0,-10.867378318368077
3887,-3.48428505685064,19.6320041082391,27.6460589288443,-2.69730059441963,0,1,0,1,0,1,0,-10.249528356624568
3890,-0.438688157492976,12.1182254726632,10.9187766376771,-1.01767770534508,0,1,0,0,0,1,0,-10.729110582190359
3892,-4.6006592211838,13.5343039695663,28.9211117430313,-1.70659278824661,1,0,0,1,0,1,0,-16.9466975028914
3893,-2.73843495041346,13.6872395065927,16.4319981491211,-1.22489867364008,1,0,0,1,0,1,0,-13.41498566594858
3894,-0.133238937209001,12.430265487309,10.4970265500999,-1.48903643124899,0,1,0,1,0,1,0,-7.049543133941384
3895,-0.638130250986592,12.3431673298573,16.9965451317753,-0.149891876364677,0,1,1,0,0,1,0,-113.39203660659923
3896,-0.338446521827136,10.8968697655781,2.82996536826602,-0.839898746159921,0,1,0,1,0,1,0,-3.3694125407435482
3897,-4.68980422464927,14.9413228690403,20.5097987893059,-1.98785857713133,0,1,0,1,0,1,0,-10.317534167296499
3898,-0.65601571833588,12.0982992434783,11.1272151523705,-2.12917782177121,1,0,0,1,0,1,0,-5.226061928032881
3899,-0.518193565017945,11.1411361681094,20.3266943783593,-1.94917089143249,0,1,1,0,0,1,0,-10.42837981405558
3900,-3.4585666998309,13.5332537894033,11.8461156610009,-1.29081386044967,0,1,0,1,0,1,0,-9.17724547586913
3901,-3.48333560721417,12.7990394372494,11.9196175399047,-2.08749346948619,0,1,0,1,0,1,0,-5.710014289452393
3902,-3.49769865013585,17.8112347262134,17.0474914567324,-4.04806143120385,0,1,1,0,0,1,0,-4.211272913331915
3903,-4.16513693444884,13.4881947649493,10.3802006876433,-3.41350767537693,0,1,0,1,0,1,0,-3.040919099880766
3904,-1.38779668249245,17.9879537962367,22.1183283989805,-6.54103208801325,0,1,0,1,0,1,0,-3.381473764593416
3905,-3.49601831367141,14.6796845819133,4.90774553327105,-4.27280800021373,0,1,0,1,0,1,0,-1.1485995937625935
3906,-2.99740136015635,15.2068765816996,2.23266739302426,-1.94672726212567,0,1,0,1,0,1,0,-1.1468824814146623
3907,-1.7543349498076,13.0899128027199,10.2435985383067,-0.731382039547611,0,1,0,1,0,1,0,-14.005810895551624
3908,-1.06236622900032,13.2030615828694,21.3702583679678,-2.17349856877072,0,1,0,1,0,1,0,-9.83219343919528
3909,-3.06653707889038,12.5279854657311,11.7,-2.32401820173778,0,1,0,1,0,1,0,-5.0343839782542785
3910,-1.24930760867488,12.6278589325426,13.0080121561482,-3.36506476692873,0,1,0,1,0,1,0,-3.865605287597634
3911,-2.34308418678542,14.8464035756266,11.3283193888412,-2.97140357562664,0,1,0,1,0,1,0,-3.812447249428973
3912,-0.939871827503708,13.1100825513175,5.78541442207502,-0.121529252969907,0,1,0,1,0,1,0,-47.60511795055302
3913,-2.28361157824114,12.0873186096334,3.83704036472557,-4.00537166942254,0,1,0,1,0,1,0,-0.9579736117918769
