,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,AccGapWiden-Widening,ColTime
32,1.76943631825111,11.7151144642557,18.7980433879954,3.02728606571338,0,1,0,1,0,1,0,1,6.20953652213427
33,2.09186112131795,15.8384143736153,14.9377404880033,0.899326114388089,0,1,1,0,0,1,0,1,16.6099263092867
34,1.25955764646022,11.6971259895031,9.21843444944468,1.40464179327495,0,1,0,1,0,1,0,1,6.562836513608014
35,0.193018922351797,15.1150165108855,6.54526138570699,0.723397862729797,1,0,0,1,0,1,0,1,9.047941282281299
37,1.01143936854939,8.84324495720281,17.5966060637116,3.88155743106561,0,1,0,1,0,1,0,1,4.533388047508749
38,0.344034432063907,9.8546843257522,20.2774496561586,2.680843592447,0,1,0,1,0,1,0,1,7.563831666005513
39,1.05014769079514,10.1987187578161,21.5292358225362,1.25178616637762,0,1,0,1,0,1,0,1,17.198812705237696
40,1.07527533103546,12.6487987457259,28.773450073591,0.239418440268835,1,0,1,0,0,1,0,1,120.18059277841027
41,1.72424774470483,5.31006777513437,27.3073741649252,6.67844098929456,0,1,1,0,0,1,0,1,4.088884547860572
42,0.863654338565851,14.646455534455,13.2072598507074,0.548535701970309,1,0,1,0,0,1,0,1,24.0773021760802
43,0.15116818808133,12.8990210586013,11.4218274662209,0.197793676304693,1,0,1,0,0,1,0,1,57.74617105870486
44,0.780861958148559,13.0501892466826,12.2472913234076,0.825463857186786,1,0,1,0,0,1,0,1,14.836859562993903
45,0.506151437639645,11.1147902252421,23.1241821903552,2.18845030223127,0,1,0,1,0,1,0,1,10.566464391162352
46,1.28120448946152,11.3785513238677,15.967393072301,6.31070190581329,0,1,0,1,0,1,0,1,2.5302087328181613
47,0.380765576855609,13.4167981508223,11.1317422554863,2.64279859244634,0,1,1,0,0,1,0,1,4.212103898989163
48,1.28276570805723,12.2710445367351,22.3871435781256,2.72895546326492,1,0,1,0,0,1,0,1,8.203557690656352
49,1.05189434316564,13.5538102447923,24.6838274769796,2.29668389885392,1,0,1,0,0,1,0,1,10.747594603374546
50,1.70563092152426,9.44347439981098,9.64434611300953,3.94484258827102,0,1,0,1,0,1,0,1,2.4447987206598625
51,1.30014356363563,12.4783019029552,12.7056285538557,0.715490506637224,0,1,0,1,0,1,0,1,17.75792751405135
52,0.0871841993547378,9.68851020925798,10.8590357268006,0.366649155797802,0,1,0,1,0,1,0,1,29.616966397132774
53,0.583333333333343,14.375,6.54553939954698,0.420539399546982,1,0,0,1,0,1,0,1,15.564628205105246
54,1.20275203735199,7.74657389881677,29.7449599538571,4.78645111348029,0,0,0,1,0,1,0,1,6.214407971301552
55,1.93679888198144,8.20561362538673,22.4095899980317,0.747264246811433,0,1,0,1,0,1,0,1,29.988842760312878
56,0.407562962074721,10.1424125073682,22.6516528391022,0.242062841070435,0,1,0,1,0,1,0,1,93.57757158816072
57,0.357591223682689,8.44780421517265,23.1180777723574,1.32789019344007,0,1,0,1,0,1,0,1,17.40963062048606
58,0.979212147410323,8.80539543885534,24.4110823654718,1.29300459311443,0,1,0,1,0,1,0,1,18.879346984122765
59,1.43102445664181,13.874234241563,18.3381534350469,0.500765758437026,1,0,1,0,0,1,0,1,36.620222381584874
60,0.924057372486942,10.9803088800892,14.6346153846154,1.95472226141575,1,0,0,1,0,1,0,1,7.486800387701096
61,0.0347386899753133,10.7918014120479,23.658895531456,2.80607125876424,0,1,0,1,0,1,0,1,8.431323850939942
62,1.27570185953044,11.4742981404696,11.5833333333333,3.92495902291985,1,0,0,1,0,1,0,1,2.9511985388107935
64,0.347005156642179,13.5059961697392,22.231212380155,0.326493325002911,1,0,1,0,0,1,0,1,68.0908633582533
65,1.34666633905634,12.7026409858019,6.64398266101665,1.77467500854804,1,0,1,0,0,1,0,1,3.7437742848773534
66,1.65999591323979,13.415161462867,13.9254990535581,1.14969173922325,0,1,0,1,0,1,0,1,12.11237636878768
67,1.8663698498563,13.185954549415,11.7016807500159,1.15753808574017,0,1,1,0,0,1,0,1,10.109110787947369
68,0.223190282786248,13.296546559319,12.3447368421053,0.321874493312563,0,1,1,0,0,1,0,1,38.35264085407874
69,1.54212212907443,13.5197368421053,12.575,0.230263157894726,0,1,1,0,0,1,0,1,54.611428571431134
70,0.604504585096691,12.1857482729337,29.9635780248727,3.18959339845341,0,1,0,1,0,1,0,1,9.394168560607639
71,1.18540676763053,12.9281377161697,5.68330787070363,2.18684413519265,1,0,0,1,0,1,0,1,2.598862799246988
72,0.943846268344721,9.66411958093111,20.6900403126614,2.54463069231243,1,0,0,1,0,1,0,1,8.130861729825066
73,0.354768418173009,10.6079658492758,22.034161059991,1.34412074732958,1,0,0,1,0,1,0,1,16.392992299067753
74,1.93928777519173,9.67907660738673,13.0584787968357,6.28604707757057,1,0,0,1,0,1,0,1,2.077375278246013
75,0.756520546389112,13.1988516747577,17.3687681417574,1.97201462769426,0,1,1,0,0,1,0,1,8.80762642316984
76,2.91743139171942,12.7885495135942,29.9806009509777,2.43661749017906,0,1,1,0,0,1,0,1,12.304188520281249
77,0.637301364038063,8.64316349953624,12.0345014352488,2.82900819400175,1,0,0,1,0,1,0,1,4.253964856222454
78,1.81253724010955,9.2804648635743,15.2570549459673,3.22255351071857,1,0,0,1,0,1,0,1,4.734461319329731
