,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
0,0.753801192308217,12.549357405827,11.5031585981352,0.0918495203441552,0,1,0,1,0,1,0,125.23917985672091
1,2.65650175925813,11.6841575814012,6.13452709501792,4.80792407660817,0,1,0,1,0,1,0,1.2759201262898527
2,1.66859267752106,12.310611560253,8.15232949782462,0.389052876508146,0,1,0,1,0,1,0,20.95429693514662
3,1.25782367233498,12.9860082261993,12.4438318985344,2.00432572888485,0,1,0,1,0,1,0,6.208487831694799
5,1.42718515673849,12.1650010433924,5.06774828498786,1.97256283177467,0,1,0,1,0,1,0,2.569118815053674
6,1.26702038401331,12.8656767131244,7.96481955923528,1.37815518540992,0,1,0,1,0,1,0,5.7793343184833095
7,3.84621832490015,13.6444531865228,13.9692307692307,0.696206154136547,0,1,0,1,0,1,0,20.064790703488832
8,1.57706715357662,8.99718694783705,0.939894604005257,0.993910119261052,0,1,0,1,0,1,0,0.9456535211695458
9,0.745672774575645,10.5742541014137,2.61928845774337,1.67939385373811,0,1,0,1,0,1,0,1.5596630009769168
10,2.48554447011637,10.2388367259231,3.69264365875503,1.60529239107409,0,0,0,1,0,1,0,2.300293503717605
11,1.85165764821375,9.33672196927329,23.9962209569115,2.78577510294776,0,1,0,1,0,1,0,8.613839979946682
13,1.43730964519025,10.7953186649783,2.83946394371731,1.59598568284775,0,1,0,1,0,1,0,1.7791287066252348
15,0.193908503800998,10.6014776644696,29.1296136960183,0.366083196611399,0,1,0,1,0,1,0,79.5710209199787
16,0.406738682755392,9.08580368655982,17.9453460631877,0.120603605217664,0,1,0,1,0,1,0,148.7960996754628
18,0.825411057378687,11.4128702836166,17.5280375300835,4.40308295265027,0,1,0,1,0,1,0,3.980855622884224
19,1.24475409545001,10.8123251434388,20.0904125722222,3.4886318330451,0,1,0,1,0,1,0,5.758822808965201
20,1.25088863864511,15.7420770481988,25.2594816856963,0.357772283986947,1,0,0,1,0,1,0,70.6021198853343
21,0.0315940624148823,15.1002387790775,6.36454283608623,0.707985204394362,0,1,0,1,0,1,0,8.989655146156206
22,0.498130434021583,9.20191918199,9.21982324773895,1.60957073241561,0,1,0,1,0,1,0,5.728125556745202
23,1.28277892866696,8.17534398578831,2.41037562373133,1.52470563022328,0,1,0,1,0,1,0,1.5808793356251667
24,0.269257300357296,8.81810229623758,3.39324582692596,2.67395585119491,0,1,0,1,0,1,0,1.268998448650385
25,0.278822051319789,9.33613635991291,14.0114899144056,1.4753535544927,0,1,0,1,0,1,0,9.497038775375742
26,1.38614572433855,13.3694271378307,13.5805728621693,2.52951913015866,0,1,1,0,0,1,0,5.368835799758305
27,1.30689549226435,9.86540489999066,16.4142429110052,0.870019479729365,0,1,0,1,0,1,0,18.86652344394765
28,0.283255286467144,9.82655229755658,11.203335447941,0.555173668272834,0,1,0,1,0,1,0,20.17987539429778
29,0.612538301403859,10.1098075840237,12.846973451753,1.64363800381199,0,1,0,1,0,1,0,7.816181800346422
30,2.69640840091735,9.15024111444345,16.1176401846634,1.98285913249336,0,1,0,1,0,1,0,8.128484732244273
31,1.76376029905279,9.09428144323464,3.95355041014339,1.20002297716167,0,0,0,1,0,1,0,3.2945622587114496
32,1.76943631825111,11.7151144642557,18.7980433879954,3.02728606571338,0,1,0,1,0,1,0,6.20953652213427
33,2.09186112131795,15.8384143736153,14.9377404880033,0.899326114388089,0,1,1,0,0,1,0,16.6099263092867
34,1.25955764646022,11.6971259895031,9.21843444944468,1.40464179327495,0,1,0,1,0,1,0,6.562836513608014
35,0.193018922351797,15.1150165108855,6.54526138570699,0.723397862729797,1,0,0,1,0,1,0,9.047941282281299
37,1.01143936854939,8.84324495720281,17.5966060637116,3.88155743106561,0,1,0,1,0,1,0,4.533388047508749
38,0.344034432063907,9.8546843257522,20.2774496561586,2.680843592447,0,1,0,1,0,1,0,7.563831666005513
39,1.05014769079514,10.1987187578161,21.5292358225362,1.25178616637762,0,1,0,1,0,1,0,17.198812705237696
40,1.07527533103546,12.6487987457259,28.773450073591,0.239418440268835,1,0,1,0,0,1,0,120.18059277841027
41,1.72424774470483,5.31006777513437,27.3073741649252,6.67844098929456,0,1,1,0,0,1,0,4.088884547860572
42,0.863654338565851,14.646455534455,13.2072598507074,0.548535701970309,1,0,1,0,0,1,0,24.0773021760802
43,0.15116818808133,12.8990210586013,11.4218274662209,0.197793676304693,1,0,1,0,0,1,0,57.74617105870486
44,0.780861958148559,13.0501892466826,12.2472913234076,0.825463857186786,1,0,1,0,0,1,0,14.836859562993903
45,0.506151437639645,11.1147902252421,23.1241821903552,2.18845030223127,0,1,0,1,0,1,0,10.566464391162352
46,1.28120448946152,11.3785513238677,15.967393072301,6.31070190581329,0,1,0,1,0,1,0,2.5302087328181613
47,0.380765576855609,13.4167981508223,11.1317422554863,2.64279859244634,0,1,1,0,0,1,0,4.212103898989163
48,1.28276570805723,12.2710445367351,22.3871435781256,2.72895546326492,1,0,1,0,0,1,0,8.203557690656352
49,1.05189434316564,13.5538102447923,24.6838274769796,2.29668389885392,1,0,1,0,0,1,0,10.747594603374546
50,1.70563092152426,9.44347439981098,9.64434611300953,3.94484258827102,0,1,0,1,0,1,0,2.4447987206598625
51,1.30014356363563,12.4783019029552,12.7056285538557,0.715490506637224,0,1,0,1,0,1,0,17.75792751405135
52,0.0871841993547378,9.68851020925798,10.8590357268006,0.366649155797802,0,1,0,1,0,1,0,29.616966397132774
53,0.583333333333343,14.375,6.54553939954698,0.420539399546982,1,0,0,1,0,1,0,15.564628205105246
54,1.20275203735199,7.74657389881677,29.7449599538571,4.78645111348029,0,0,0,1,0,1,0,6.214407971301552
55,1.93679888198144,8.20561362538673,22.4095899980317,0.747264246811433,0,1,0,1,0,1,0,29.988842760312878
56,0.407562962074721,10.1424125073682,22.6516528391022,0.242062841070435,0,1,0,1,0,1,0,93.57757158816072
57,0.357591223682689,8.44780421517265,23.1180777723574,1.32789019344007,0,1,0,1,0,1,0,17.40963062048606
58,0.979212147410323,8.80539543885534,24.4110823654718,1.29300459311443,0,1,0,1,0,1,0,18.879346984122765
59,1.43102445664181,13.874234241563,18.3381534350469,0.500765758437026,1,0,1,0,0,1,0,36.620222381584874
60,0.924057372486942,10.9803088800892,14.6346153846154,1.95472226141575,1,0,0,1,0,1,0,7.486800387701096
61,0.0347386899753133,10.7918014120479,23.658895531456,2.80607125876424,0,1,0,1,0,1,0,8.431323850939942
